"Algorithm","Number","Time"
"Fibonacci","38","2.7885"
"Factorial","38","1.7473"
"Fibonacci","29","2.8095"
"Factorial","29","1.5814"
"Fibonacci","3","2.763"
"Factorial","3","3.8611"
"Fibonacci","25","2.6309"
"Factorial","25","1.5829"
"Fibonacci","28","2.3434"
"Factorial","28","1.3656"
"Fibonacci","41","2.7447"
"Factorial","41","1.6368"
"Fibonacci","64","2.5164"
"Factorial","64","1.4724"
